Carlos;García López;12345678901234567890;15/05/2015;1200.75
#12345678901234567890;15/03/2024;14:30;I;120.50
#12345678901234567890;20/01/2024;17:00;E;80.50
#12345678901234567890;03/01/2024;13:10;I;150.50
#12345678901234567890;10/01/2024;14:50;I;75.25
#12345678901234567890;15/01/2024;16:40;I;400.75
Amina;El Amrani;09876543210987654321;22/08/2012;450.50
#09876543210987654321;22/05/2024;09:15;E;45.75
#09876543210987654321;28/02/2024;14:15;E;300.75
#09876543210987654321;17/02/2024;18:25;I;450.25
#09876543210987654321;22/02/2024;19:05;E;200.75
#09876543210987654321;27/02/2024;20:55;E;50.00
Ion;Popescu;11223344556677889900;03/11/2018;3000.25
#11223344556677889900;07/07/2024;18:45;I;300.00
#11223344556677889900;12/03/2024;09:30;I;400.00
#11223344556677889900;29/03/2024;10:50;E;600.75
#11223344556677889900;05/03/2024;08:30;I;350.50
#11223344556677889900;10/03/2024;09:20;E;200.25
María;Fernández Ruiz;22334455667788990011;19/07/2010;600.00
#22334455667788990011;30/09/2024;12:00;E;650.00
#22334455667788990011;18/04/2024;16:45;E;550.50
#22334455667788990011;14/04/2024;12:15;I;300.00
#22334455667788990011;18/04/2024;12:55;E;450.25
#22334455667788990011;23/04/2024;13:45;I;350.50
Youssef;Benali;33445566778899001122;30/01/2019;5000.50
#33445566778899001122;10/02/2024;08:00;I;75.25
#33445566778899001122;22/05/2024;10:20;I;250.75
#33445566778899001122;25/05/2024;09:40;I;50.25
#33445566778899001122;29/05/2024;10:20;I;150.00
#33445566778899001122;04/05/2024;11:10;E;450.75
Elena;Martínez Sánchez;44556677889900112233;12/09/2016;250.75
#44556677889900112233;25/06/2024;16:20;E;200.50
#44556677889900112233;07/06/2024;12:35;E;100.00
#44556677889900112233;08/06/2024;16:55;I;400.50
#44556677889900112233;12/06/2024;17:45;E;300.75
#44556677889900112233;17/06/2024;18:35;E;300.00
Ahmed;El Ouahabi;55667788990011223344;25/04/2013;1500.00
#55667788990011223344;14/04/2024;10:10;I;450.75
#55667788990011223344;15/07/2024;19:50;I;500.25
#55667788990011223344;19/07/2024;20:20;E;250.75
#55667788990011223344;25/07/2024;21:10;I;500.50
#55667788990011223344;30/07/2024;22:00;I;150.50
Andrei;Ionescu;66778899001122334455;08/12/2017;4000.25
#66778899001122334455;03/12/2024;20:30;E;50.00
#66778899001122334455;30/08/2024;08:05;E;75.50
#66778899001122334455;02/08/2024;07:45;I;100.00
#66778899001122334455;08/08/2024;06:35;E;100.25
#66778899001122334455;12/08/2024;07:25;I;500.25
Lucía;González Pérez;77889900112233445566;14/02/2014;800.50
#77889900112233445566;19/08/2024;11:45;I;600.00
#77889900112233445566;09/09/2024;14:40;I;350.00
#77889900112233445566;13/09/2024;15:10;I;500.50
#77889900112233445566;19/09/2024;14:00;I;600.00
#77889900112233445566;25/09/2024;15:50;I;650.00
Fatima;Zahra;88990011223344556677;10/06/2011;3500.75
#88990011223344556677;05/11/2024;13:55;E;125.25
#88990011223344556677;24/10/2024;11:55;E;200.75
#88990011223344556677;28/10/2024;11:35;E;650.00
#88990011223344556677;03/10/2024;11:25;E;250.50
#88990011223344556677;08/10/2024;12:15;E;100.75
